Network Group Var,Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming,,,,,
Network Group Var,NBC Sports,iOS,Mobile Phone,iPhone,Mobile App," 65,471 "," 1,133,926 ","227,249"," 1,199,397 ",,,,,
Network Group Var,NBC Sports,iOS,Tablet,iPad,Mobile App," 56,858 "," 456,502 ","102,767"," 513,360 ",,,,,
Network Group Var,NBC Sports,iOS,Media Player,iPod,Mobile App, 577 ," 3,902 ",806," 4,479 ",,,,,
Network Group Var,NBC Sports,Android,Mobile Phone,Android Phone,Mobile App," 29,878 "," 695,005 ","90,994"," 724,883 ",,,,,
Network Group Var,NBC Sports,Android,Tablet,Android Tablet,Mobile App," 12,309 "," 119,346 ","22,956"," 131,655 ",,,,,
Network Group Var,NBC Sports,Unknown,Apple TV,Apple TV,Connected Device," 85,648 "," 384,664 ","83,358"," 470,312 ",,,,,
Network Group Var,NBC Sports,Unknown,Roku,Roku,Connected Device," 74,467 "," 358,860 ","247,559"," 433,327 ",,,,,
Network Group Var,NBC Sports,Unknown,Fire TV,Fire TV,Connected Device," 39,654 "," 242,721 ","49,223"," 282,375 ",,,,,
Network Group Var,NBC Sports,Unknown,Xbox,Xbox One,Connected Device," 18,203 "," 59,310 ","13,507"," 77,513 ",,,,,
Network Group Var,NBC Sports,Unknown,Samsung TV,Samsung TV,Connected Device," 6,123 "," 11,871 ","3,607"," 17,994 ",,,,,
Network Group Var,NBC Sports,Unknown,Other,Desktop,Desktop," 229,611 "," 1,470,266 ","545,459"," 1,699,877 ",,,,,
Network Group Var,NBC Sports,Windows,Tablet,Windows Tablet,Mobile App, 226 , 962 ,381," 1,188 ",,,,,
Network Group Var,Golf Channel,Unknown,Other,Desktop,Desktop," 23,440 "," 348,689 ","78,442"," 372,129 ",,,,,
Network Group (13. Network),USA,iOS,Mobile Phone,iPhone,Mobile App," 399,221 "," 165,752 ","90,841"," 564,973 ",,,,,
Network Group (13. Network),USA,iOS,Tablet,iPad,Mobile App," 241,511 "," 78,581 ","56,291"," 320,092 ",,,,,
Network Group (13. Network),USA,iOS,Media Player,iPod,Mobile App," 2,360 ", -   ,372," 2,360 ",,,,,
Network Group (13. Network),USA,Android,Mobile Phone,Android Phone,Mobile App," 119,601 "," 80,926 ","31,492"," 200,527 ",,,,,
Network Group (13. Network),USA,Android,Tablet,Android Tablet,Mobile App," 39,583 "," 20,520 ","9,968"," 60,103 ",,,,,
Network Group (13. Network),USA,Android,Gaming Console,Android Other,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),USA,Android,Set-top Box,Android Other,Mobile App, 188 , 589 ,63, 777 ,,,,,
Network Group (13. Network),USA,Android,Other,Android Other,Mobile App, 35 , 9 ,12, 44 ,,,,,
Network Group (13. Network),USA,Windows,Mobile Phone,Windows Phone,Mobile App, 127 , -   ,26, 127 ,,,,,
Network Group (13. Network),Telemundo,iOS,Mobile Phone,iPhone,Mobile App," 525,336 ", 158 ,"49,179"," 525,494 ",,,,,
Network Group (13. Network),Telemundo,iOS,Tablet,iPad,Mobile App," 188,550 ", 13 ,"14,512"," 188,563 ",,,,,
Network Group (13. Network),Telemundo,iOS,Media Player,iPod,Mobile App," 2,893 ", -   ,270," 2,893 ",,,,,
Network Group (13. Network),Telemundo,Android,Mobile Phone,Android Phone,Mobile App," 192,780 ", 101 ,"21,934"," 192,881 ",,,,,
Network Group (13. Network),Telemundo,Android,Tablet,Android Tablet,Mobile App," 39,221 ", 2 ,"4,067"," 39,223 ",,,,,
Network Group (13. Network),Telemundo,Android,Set-top Box,Android Other,Mobile App, 254 , -   ,23, 254 ,,,,,
Network Group (13. Network),Telemundo,Android,Gaming Console,Android Other,Mobile App, -   , -   ,0, -   ,,,,,
Network Group (13. Network),Telemundo,Android,Other,Android Other,Mobile App, 71 , -   ,3, 71 ,,,,,
Network Group (13. Network),Telemundo,Windows,Mobile Phone,Windows Phone,Mobile App, 421 , -   ,72, 421 ,,,,,
Network Group (13. Network),Bravo,iOS,Mobile Phone,iPhone,Mobile App," 1,382,122 "," 231,322 ","158,072"," 1,613,444 ",,,,,
Network Group (13. Network),Bravo,iOS,Tablet,iPad,Mobile App," 1,117,755 "," 205,307 ","120,975"," 1,323,062 ",,,,,
Network Group (13. Network),Bravo,iOS,Media Player,iPod,Mobile App," 2,349 ", 3 ,319," 2,352 ",,,,,
Network Group (13. Network),Bravo,Android,Mobile Phone,Android Phone,Mobile App," 174,289 "," 32,484 ","19,678"," 206,773 ",,,,,
Network Group (13. Network),Bravo,Android,Tablet,Android Tablet,Mobile App," 78,699 "," 12,689 ","9,025"," 91,388 ",,,,,
Network Group (13. Network),Bravo,Windows,Mobile Phone,Windows Phone,Mobile App, 183 , -   ,16, 183 ,,,,,
Network Group (13. Network),E!,iOS,Mobile Phone,iPhone,Mobile App," 319,383 "," 19,582 ","55,573"," 338,965 ",,,,,
Network Group (13. Network),E!,iOS,Tablet,iPad,Mobile App," 173,508 "," 15,345 ","29,580"," 188,853 ",,,,,
Network Group (13. Network),E!,iOS,Media Player,iPod,Mobile App," 2,080 ", -   ,340," 2,080 ",,,,,
Network Group (13. Network),E!,Android,Mobile Phone,Android Phone,Mobile App," 40,540 "," 3,118 ","5,345"," 43,658 ",,,,,
Network Group (13. Network),E!,Android,Tablet,Android Tablet,Mobile App," 13,020 "," 1,189 ","1,869"," 14,209 ",,,,,
Network Group (13. Network),Syfy,iOS,Mobile Phone,iPhone,Mobile App," 157,282 "," 16,245 ","30,597"," 173,527 ",,,,,
Network Group (13. Network),Syfy,iOS,Tablet,iPad,Mobile App," 158,342 "," 14,113 ","29,869"," 172,455 ",,,,,
