Network,Mobile OS,Mobile Device Type,Device,Device Group,VOD Episode,Linear Stream,Unique Viewers,Total Streaming
NBC Sports,iOS,Mobile Phone,iPhone,Mobile App,65471,1133926,227249,1199397
NBC Sports,iOS,Tablet,iPad,Mobile App,56858,456502,102767,513360
NBC Sports,iOS,Media Player,iPod,Mobile App,577,3902,806,4479
NBC Sports,Android,Mobile Phone,Android Phone,Mobile App,29878,695005,90994,724883
NBC Sports,Android,Tablet,Android Tablet,Mobile App,12309,119346,22956,131655
NBC Sports,Unknown,Apple TV,Apple TV,Connected Device,85648,384664,83358,470312
NBC Sports,Unknown,Roku,Roku,Connected Device,74467,358860,247559,433327
NBC Sports,Unknown,Fire TV,Fire TV,Connected Device,39654,242721,49223,282375
NBC Sports,Unknown,Xbox,Xbox One,Connected Device,18203,59310,13507,77513
NBC Sports,Unknown,Samsung TV,Samsung TV,Connected Device,6123,11871,3607,17994
NBC Sports,Unknown,Other,Desktop,Desktop,229611,1470266,545459,1699877
NBC Sports,Windows,Tablet,Windows Tablet,Mobile App,226,962,381,1188
Golf Channel,Unknown,Other,Desktop,Desktop,23440,348689,78442,372129
USA,iOS,Mobile Phone,iPhone,Mobile App,399221,165752,90841,564973
USA,iOS,Tablet,iPad,Mobile App,241511,78581,56291,320092
USA,iOS,Media Player,iPod,Mobile App,2360, -   ,372,2360
USA,Android,Mobile Phone,Android Phone,Mobile App,119601,80926,31492,200527
USA,Android,Tablet,Android Tablet,Mobile App,39583,20520,9968,60103
USA,Android,Gaming Console,Android Other,Mobile App, -   , -   ,0, -   
USA,Android,Set-top Box,Android Other,Mobile App,188,589,63,777
USA,Android,Other,Android Other,Mobile App,35,9,12,44
USA,Windows,Mobile Phone,Windows Phone,Mobile App,127, -   ,26,127
Telemundo,iOS,Mobile Phone,iPhone,Mobile App,525336,158,49179,525494
Telemundo,iOS,Tablet,iPad,Mobile App,188550,13,14512,188563
Telemundo,iOS,Media Player,iPod,Mobile App,2893, -   ,270,2893
Telemundo,Android,Mobile Phone,Android Phone,Mobile App,192780,101,21934,192881
Telemundo,Android,Tablet,Android Tablet,Mobile App,39221,2,4067,39223
Telemundo,Android,Set-top Box,Android Other,Mobile App,254, -   ,23,254
Telemundo,Android,Gaming Console,Android Other,Mobile App, -   , -   ,0, -   
Telemundo,Android,Other,Android Other,Mobile App,71, -   ,3,71
Telemundo,Windows,Mobile Phone,Windows Phone,Mobile App,421, -   ,72,421
Bravo,iOS,Mobile Phone,iPhone,Mobile App,1382122,231322,158072,1613444
Bravo,iOS,Tablet,iPad,Mobile App,1117755,205307,120975,1323062
Bravo,iOS,Media Player,iPod,Mobile App,2349,3,319,2352
Bravo,Android,Mobile Phone,Android Phone,Mobile App,174289,32484,19678,206773
Bravo,Android,Tablet,Android Tablet,Mobile App,78699,12689,9025,91388
Bravo,Windows,Mobile Phone,Windows Phone,Mobile App,183, -   ,16,183
E!,iOS,Mobile Phone,iPhone,Mobile App,319383,19582,55573,338965
E!,iOS,Tablet,iPad,Mobile App,173508,15345,29580,188853
E!,iOS,Media Player,iPod,Mobile App,2080, -   ,340,2080
E!,Android,Mobile Phone,Android Phone,Mobile App,40540,3118,5345,43658
E!,Android,Tablet,Android Tablet,Mobile App,13020,1189,1869,14209
Syfy,iOS,Mobile Phone,iPhone,Mobile App,157282,16245,30597,173527
Syfy,iOS,Tablet,iPad,Mobile App,158342,14113,29869,172455
Syfy,iOS,Media Player,iPod,Mobile App,1687, -   ,300,1687
Syfy,Android,Mobile Phone,Android Phone,Mobile App,71492,8289,12803,79781
Syfy,Android,Tablet,Android Tablet,Mobile App,38418,4634,6547,43052
Syfy,Windows,Mobile Phone,Windows Phone,Mobile App,543, -   ,100,543
Sprout,iOS,Tablet,iPad,Mobile App,156116,8082,9257,164198
Sprout,iOS,Mobile Phone,iPhone,Mobile App,62971,3860,6151,66831
Sprout,iOS,Media Player,iPod,Mobile App,2001, -   ,161,2001
Sprout,Android,Tablet,Android Tablet,Mobile App,60582,2937,4788,63519
Sprout,Android,Mobile Phone,Android Phone,Mobile App,27740,2999,3257,30739
Sprout,Unknown,Other,Unknown Mobile,Mobile App,1928,1040,217,2968
Oxygen,iOS,Mobile Phone,iPhone,Mobile App,24084,13234,5878,37318
Oxygen,iOS,Tablet,iPad,Mobile App,14729,8836,3621,23565
